"id","title","description","price","category","image","specs","skv","mrp","sale_price","features","stock"
"136","200 RPM DC MOTOR","","140","Motors","/uploads/200 RPM DC MOTOR.jpg","{""Product Type"":""200 RPM 12V DC Geared Motor"",""Motor Type"":""DC Metal Gear Motor"",""Rated Voltage"":""12V DC"",""No-Load Speed"":""200 RPM"",""Rated Torque"":""High Torque (Model Dependent)"",""Shaft Type"":""D-Shaped Output Shaft"",""Weight"":""Approximately 180 g""}","B24","280","140","[""Provides 200 RPM output with high torque for smooth and efficient motion"",""Durable metal gearbox ensures reliable performance and extended service life"",""Supports bidirectional rotation by reversing the supply polarity"",""Compatible with L298N, L293D, BTS7960, TB6612FNG, and other DC motor driver modules"",""Ideal for robotics, conveyor systems, smart vehicles, automation equipment, and DIY electronics projects""]","100"
"137","500 RPM DC MOTOR","","140","Motors","/uploads/500 RPM DC MOTOR.jpeg","{""Product Type"":""500 RPM 12V DC Geared Motor"",""Motor Type"":""DC Metal Gear Motor"",""Rated Voltage"":""12V DC"",""No-Load Speed"":""500 RPM"",""Rated Torque"":""High Torque (Model Dependent)"",""Shaft Type"":""D-Shaped Output Shaft"",""Weight"":""Approximately 180 g""}","B25A","280","140","[""Provides 500 RPM output with high torque for high-speed motion control"",""Durable metal gearbox ensures smooth operation and extended service life"",""Supports bidirectional rotation by reversing the supply polarity"",""Compatible with L298N, L293D, BTS7960, TB6612FNG, and other DC motor driver modules"",""Ideal for robotics, smart vehicles, conveyor systems, automation equipment, and DIY electronics projects""]","100"
"138","DC PUMP","","50","Motors","/uploads/DC PUMP.jpeg","{""Product Type"":""DC Water Pump"",""Pump Type"":""Submersible DC Pump"",""Operating Voltage"":""3V - 12V DC (Model Dependent)"",""Flow Rate"":""80 - 240 L/H (Model Dependent)"",""Maximum Lift Height"":""0.5 - 3 m (Model Dependent)"",""Outlet Diameter"":""6 - 8 mm"",""Weight"":""Approximately 70 g""}","B26",,"200","[""Compact DC water pump suitable for continuous water circulation"",""Low power consumption with quiet and efficient operation"",""Can be controlled using relay modules or motor driver circuits"",""Compatible with Arduino, ESP32, ESP8266, Raspberry Pi, STM32, and other embedded systems"",""Ideal for automatic plant watering, aquariums, fountains, cooling systems, hydroponics, and DIY water circulation projects""]","100"
"139","BLDC MOTOR 1000KVA","","600","Motors","/uploads/BLDC MOTOR 1000KVA.jpeg","{""Product Type"":""1000KV Brushless DC (BLDC) Outrunner Motor"",""Motor Type"":""3-Phase Brushless DC Outrunner Motor"",""KV Rating"":""1000 KV"",""Operating Voltage"":""7.4V - 14.8V DC (2S - 4S Li-Po)"",""Maximum Current"":""Up to 20A (Model Dependent)"",""Recommended ESC"":""20A - 30A Brushless ESC"",""Weight"":""Approximately 55 g""}","B27","1200","600","[""High-efficiency brushless outrunner motor with a 1000 KV speed constant"",""Provides high power-to-weight ratio with smooth and reliable operation"",""Requires a brushless Electronic Speed Controller (ESC) for operation"",""Compatible with Arduino, ESP32, STM32, Raspberry Pi, and RC flight controllers when used with a suitable ESC"",""Ideal for drones, RC airplanes, quadcopters, robotic propulsion systems, CNC projects, and DIY electronics""]","100"
"140","SIMONK30ESC","","350","Miscellaneous","/uploads/SIMONK30ESC.jpeg","{""Product Type"":""SimonK 30A Electronic Speed Controller (ESC)"",""Firmware"":""SimonK"",""ESC Type"":""Brushless DC Motor Speed Controller"",""Operating Voltage"":""7.4V - 14.8V DC (2S - 4S Li-Po)"",""Continuous Current"":""30A"",""Peak Current"":""40A (Up to 10 Seconds)"",""BEC Output"":""5V DC, 2A"",""Weight"":""Approximately 25 g""}","B27A","700","350","[""30A brushless Electronic Speed Controller designed for BLDC motors"",""Preloaded with SimonK firmware for fast throttle response and smooth motor control"",""Integrated 5V/2A BEC for powering flight controllers and microcontrollers"",""Compatible with Arduino, ESP32, STM32, Raspberry Pi, RC receivers, and flight controllers using standard PWM signals"",""Ideal for quadcopters, drones, RC airplanes, RC boats, robotics, and other brushless motor control applications""]","100"
"141","5V STEPPER MOTOR","","110","Motors","/uploads/5V STEPPER MOTOR.jpg","{""Product Type"":""5V Stepper Motor"",""Model"":""28BYJ-48"",""Motor Type"":""Unipolar Stepper Motor"",""Operating Voltage"":""5V DC"",""Step Angle"":""5.625° / 64 (Gear Reduction)"",""Gear Ratio"":""1:64"",""Number of Wires"":""5"",""Weight"":""Approximately 35 g""}","B28","220","110","[""High-precision unipolar stepper motor with built-in 1:64 reduction gearbox"",""Provides accurate position and speed control with high holding torque"",""Designed to work with ULN2003 stepper motor driver modules"",""Compatible with Arduino, ESP32, ESP8266, Raspberry Pi, STM32, and other microcontroller platforms"",""Ideal for robotics, automation systems, camera sliders, CNC prototypes, educational projects, and precision motion control applications""]","100"
"142","Servo Driver","","50","Miscellaneous","/uploads/Servo Driver.jpeg","{""Model"":""PCA9685 16-Channel PWM/Servo Driver Module"",""Module Type"":""16-Channel PWM and Servo Driver"",""Driver IC"":""PCA9685"",""Operating Voltage"":""2.3V - 5.5V DC (Logic), 5V - 6V (Servo Power)"",""Communication Interface"":""I2C"",""PWM Resolution"":""12-bit (4096 Levels)"",""PWM Frequency"":""24 Hz - 1526 Hz (Programmable)"",""Weight"":""Approximately 10 g""}","B29A",,"200","[""Controls up to 16 servo motors or PWM outputs independently using a single I2C interface"",""12-bit PWM resolution provides smooth and precise servo and LED control"",""Programmable PWM frequency suitable for servos, LEDs, and other PWM devices"",""Compatible with Arduino, ESP32, ESP8266, Raspberry Pi, STM32, and other I2C-enabled microcontrollers"",""Ideal for robotics, robotic arms, RC projects, LED dimming, automation systems, and IoT applications""]","100"
"143","MG995 SERVO MOTOR","","250","Motors","/uploads/MG995 SERVO MOTOR.jpg","{""Product Type"":""MG995 High Torque Servo Motor"",""Model"":""MG995"",""Motor Type"":""Digital Metal Gear Servo Motor"",""Operating Voltage"":""4.8V - 7.2V DC"",""Operating Angle"":""0° - 180°"",""Control Signal"":""PWM"",""Stall Torque"":""10 kg·cm @ 4.8V, 12 kg·cm @ 6V"",""Weight"":""Approximately 55 g""}","B30","500","250","[""High-torque servo motor with durable metal gears for heavy-duty applications"",""Supports precise position control over a 0° to 180° rotation range using PWM signals"",""Fast response and high holding torque for demanding mechanical systems"",""Compatible with Arduino, ESP32, ESP8266, Raspberry Pi, STM32, and PCA9685 servo driver modules"",""Ideal for robotic arms, humanoid robots, RC vehicles, automation systems, pan-tilt mechanisms, and DIY robotics projects""]","100"
"144","MG90S SERVO MOTOR","","50","Motors","/uploads/MG90S SERVO MOTOR.jpeg","{""Product Type"":""MG90S Micro Servo Motor"",""Model"":""MG90S"",""Motor Type"":""Metal Gear Micro Servo Motor"",""Operating Voltage"":""4.8V - 6V DC"",""Operating Angle"":""0° - 180°"",""Control Signal"":""PWM"",""Stall Torque"":""2.2 kg·cm @ 4.8V, 2.5 kg·cm @ 6V"",""Weight"":""Approximately 13 g""}","B30B",,"200","[""Compact micro servo with durable metal gears for improved strength and longevity"",""Provides precise position control over a 0° to 180° rotation range using PWM signals"",""Offers higher torque and better durability than standard SG90 plastic gear servos"",""Compatible with Arduino, ESP32, ESP8266, Raspberry Pi, STM32, and PCA9685 servo driver modules"",""Ideal for robotics, RC aircraft, robotic arms, pan-tilt mechanisms, automation systems, and DIY electronics projects""]","100"
"145","CLUSTER WHEEL","","50","Wheels","/uploads/CLUSTER WHEEL.jpeg","{""Product Type"":""Cluster Wheel"",""Wheel Type"":""Multi-Roller Omni Cluster Wheel"",""Wheel Diameter"":""Approximately 60 mm (Model Dependent)"",""Material"":""High-Strength Plastic with Rubber Rollers"",""Mounting Hole"":""Compatible with Standard DC Gear Motors"",""Rotation"":""360° Multi-Directional Movement"",""Weight"":""Approximately 60 g""}","B31",,"200","[""Multi-roller design enables smooth omnidirectional movement"",""Provides excellent traction while reducing friction during lateral motion"",""Lightweight and durable construction for robotic applications"",""Compatible with BO motors, DC geared motors, stepper motors, and robotic chassis"",""Ideal for omnidirectional robots, AGVs, robotic platforms, educational robotics, and DIY automation projects""]","100"
"146","BO MOTOR WHEEL","","35","Wheels","/uploads/BO MOTOR WHEEL.jpeg","{""Product Type"":""BO Motor Wheel"",""Wheel Type"":""Plastic Wheel for BO Geared Motor"",""Wheel Diameter"":""65 mm"",""Wheel Width"":""26 mm"",""Material"":""High-Quality Plastic with Rubber Tire"",""Mounting Type"":""Press-Fit for BO Motor Shaft"",""Weight"":""Approximately 20 g""}","B32","70","35","[""Designed specifically for BO geared motors with a secure press-fit connection"",""Rubber tire provides excellent grip and smooth movement on various surfaces"",""Lightweight yet durable construction for long-lasting performance"",""Compatible with BO motors used in Arduino, ESP32, Raspberry Pi, and STM32 robotics projects"",""Ideal for line-following robots, obstacle-avoiding robots, smart cars, educational robotics, and DIY automation projects""]","100"
"147","DC MOTOR WHEEL","","50","Wheels","/uploads/DC MOTOR WHEEL.jpeg","{""Product Type"":""DC Motor Wheel"",""Wheel Type"":""Rubber Tire Wheel for DC Geared Motor"",""Wheel Diameter"":""65 mm (Model Dependent)"",""Wheel Width"":""26 mm"",""Material"":""Plastic Rim with Rubber Tire"",""Mounting Type"":""Compatible with D-Shaped Motor Shaft"",""Weight"":""Approximately 30 g""}","B33",,"200","[""Designed for use with DC geared motors featuring D-shaped output shafts"",""Rubber tire provides excellent grip and stable movement on various surfaces"",""Lightweight and durable construction for reliable performance"",""Compatible with 12V DC geared motors used in Arduino, ESP32, Raspberry Pi, and STM32 robotics projects"",""Ideal for robotic vehicles, smart cars, mobile robots, automation systems, and DIY electronics projects""]","100"
"148","AQUA PUMP","","50","Miscellaneous","/uploads/AQUA PUMP.jpeg","{""Product Type"":""Aqua Water Pump"",""Pump Type"":""Mini DC Water Pump"",""Operating Voltage"":""3V - 12V DC (Model Dependent)"",""Flow Rate"":""80 - 300 L/H (Model Dependent)"",""Maximum Lift Height"":""0.5 - 3 m"",""Outlet Diameter"":""6 - 8 mm"",""Weight"":""Approximately 80 g""}","B34",,"200","[""Compact DC water pump for efficient water circulation and transfer"",""Low-noise operation with low power consumption"",""Can be controlled using relay modules or motor driver circuits"",""Compatible with Arduino, ESP32, ESP8266, Raspberry Pi, STM32, and other embedded systems"",""Ideal for automatic plant watering, aquariums, fountains, hydroponics, cooling systems, and DIY water pumping projects""]","100"
"149","METAL STUDD","","50","Miscellaneous","/uploads/METAL STUDD.jpeg","{""Product Type"":""Metal Stud"",""Material"":""Galvanized Steel / Mild Steel"",""Finish"":""Zinc Plated"",""Thread Type"":""Metric (M3 / M4 - Model Dependent)"",""Length"":""10 mm - 100 mm (Model Dependent)"",""Mounting Type"":""Threaded"",""Weight"":""Approximately 5 g (Model Dependent)""}","B35",,"200","[""High-strength threaded metal stud for secure mechanical assembly"",""Corrosion-resistant zinc-plated finish for improved durability"",""Compatible with nuts, spacers, brackets, PCBs, and robotic chassis"",""Suitable for Arduino, ESP32, Raspberry Pi, STM32, 3D printers, and embedded hardware assemblies"",""Ideal for robotics, electronic enclosures, mechanical fixtures, prototyping, and DIY engineering projects""]","100"
"150","12 V BIDC FAN","","90","Miscellaneous","/uploads/12 V BIDC FAN.jpeg","{""Product Type"":""12V BLDC Cooling Fan"",""Fan Type"":""Brushless DC (BLDC) Fan"",""Operating Voltage"":""12V DC"",""Rated Current"":""0.10A - 0.30A (Model Dependent)"",""Fan Size"":""40×40 mm / 60×60 mm / 80×80 mm (Model Dependent)"",""Speed"":""2500 - 5000 RPM (Model Dependent)"",""Weight"":""Approximately 40 g""}","B36","180","90","[""Brushless DC motor ensures quiet operation and long service life"",""Provides efficient airflow for cooling electronic components and enclosures"",""Low power consumption with continuous-duty operation"",""Compatible with Arduino, ESP32, Raspberry Pi, STM32, power supplies, and electronic cooling systems (via a suitable driver or relay if controlled by a microcontroller)"",""Ideal for electronics cooling, 3D printers, computer cabinets, power supplies, robotics, and DIY projects""]","100"
"151","5V BIDC FAN","","70","Miscellaneous","/uploads/5V BIDC FAN.jpeg","{""Product Type"":""5V BLDC Cooling Fan"",""Fan Type"":""Brushless DC (BLDC) Fan"",""Operating Voltage"":""5V DC"",""Rated Current"":""0.10A - 0.25A (Model Dependent)"",""Fan Size"":""30×30 mm / 40×40 mm / 50×50 mm (Model Dependent)"",""Speed"":""4000 - 8000 RPM (Model Dependent)"",""Weight"":""Approximately 25 g""}","B36A","140","70","[""Brushless DC motor provides quiet operation and extended service life"",""Delivers efficient airflow for cooling electronic components and embedded systems"",""Low power consumption with reliable continuous operation"",""Compatible with Arduino, ESP32, ESP8266, Raspberry Pi, STM32, and USB-powered devices (via a suitable driver or transistor if controlled by a microcontroller)"",""Ideal for electronics cooling, Raspberry Pi projects, IoT devices, 3D printers, robotics, and DIY electronics""]","100"
"152","VALVE SOLENOID","","285","Miscellaneous","/uploads/VALVE SOLENOID.JPEG","{""Product Type"":""Solenoid Valve"",""Valve Type"":""Normally Closed (NC) Solenoid Valve"",""Operating Voltage"":""12V DC (Common Model)"",""Operating Pressure"":""0.02 - 0.8 MPa"",""Port Size"":""1/2 Inch (Model Dependent)"",""Valve Body Material"":""Plastic / Brass (Model Dependent)"",""Weight"":""Approximately 180 g""}","B37","570","285","[""Electrically operated normally closed valve for automatic fluid control"",""Fast switching with reliable and leak-resistant operation"",""Suitable for controlling water, air, and other non-corrosive fluids"",""Compatible with Arduino, ESP32, ESP8266, Raspberry Pi, and STM32 using a relay module or MOSFET driver"",""Ideal for irrigation systems, water dispensers, industrial automation, fluid control, and IoT-based automation projects""]","100"
"153","12 V LED","","50","LED","/uploads/12 V LED.jpeg","{""Product Type"":""12V LED"",""LED Type"":""Pre-Wired High-Brightness LED"",""Operating Voltage"":""12V DC"",""LED Diameter"":""3 mm / 5 mm (Model Dependent)"",""Light Color"":""Red / Green / Blue / Yellow / White (Model Dependent)"",""Viewing Angle"":""20° - 120° (Model Dependent)"",""Weight"":""Approximately 2 g""}","B38",,"200","[""Operates directly from a 12V DC supply with a built-in current-limiting resistor"",""High-brightness LED provides clear visual indication and illumination"",""Available in multiple colors for status indication and lighting applications"",""Compatible with Arduino, ESP32, ESP8266, Raspberry Pi, STM32, and other 12V control circuits (via a suitable driver if required)"",""Ideal for indicator lights, automotive electronics, control panels, DIY electronics, industrial equipment, and lighting projects""]","100"
"154","PVC HEATSINK SLIVES","","50","Miscellaneous","/uploads/PVC HEATSINK SLIVES.jpeg","{""Product Type"":""PVC Heat Shrink Sleeve"",""Material"":""Polyvinyl Chloride (PVC)"",""Shrink Ratio"":""2:1"",""Operating Temperature"":""-20°C to +105°C"",""Available Diameters"":""2 mm - 25 mm (Model Dependent)"",""Color"":""Black / Red / Blue / Yellow / Green / Transparent (Model Dependent)"",""Weight"":""Varies with Size and Length""}","B39",,"200","[""Provides electrical insulation and mechanical protection for wires and cable joints"",""Shrinks uniformly when heated to form a secure, tight-fitting covering"",""Resistant to abrasion, moisture, dust, and common chemicals"",""Suitable for use with Arduino, ESP32, Raspberry Pi, STM32, power supplies, and general electronic wiring"",""Ideal for wire insulation, cable bundling, solder joint protection, connector reinforcement, and DIY electronics projects""]","100"
"155","ANTENNA","","50","Miscellaneous","/uploads/ANTENNA.jpeg","{""Product Type"":""RF Antenna"",""Antenna Type"":""External Omni-Directional Antenna"",""Operating Frequency"":""433 MHz / 868 MHz / 915 MHz / 2.4 GHz (Model Dependent)"",""Connector Type"":""SMA Male / IPEX / U.FL / Wire Type (Model Dependent)"",""Gain"":""2 dBi - 5 dBi (Model Dependent)"",""Polarization"":""Vertical"",""Weight"":""Approximately 10 g""}","B40",,"200","[""Improves wireless signal strength and communication range"",""Omni-directional radiation pattern for 360° signal coverage"",""Low-loss design for reliable RF transmission and reception"",""Compatible with ESP8266, ESP32, LoRa modules, NRF24L01, GSM, Wi-Fi, Bluetooth, Zigbee, and other RF communication modules (frequency dependent)"",""Ideal for IoT devices, wireless sensor networks, remote monitoring, robotics, industrial automation, and embedded communication systems""]","100"
"156","ARDUINO UNO SMD","","200","Development Boards","/uploads/ARDUINO UNO SMD.jpeg","{""Product Type"":""Arduino UNO SMD Development Board"",""Microcontroller"":""ATmega328P (SMD Version)"",""Operating Voltage"":""5V DC"",""Input Voltage"":""7V - 12V DC (Recommended), 6V - 20V DC (Limit)"",""Digital I/O Pins"":""14 (6 PWM Outputs)"",""Analog Input Pins"":""6"",""Clock Speed"":""16 MHz"",""USB Interface"":""USB Type-B"",""Weight"":""Approximately 25 g""}","C11","400","200","[""Based on the ATmega328P SMD microcontroller for reliable embedded development"",""Provides 14 digital I/O pins, 6 analog inputs, and PWM functionality"",""Supports USB programming and serial communication via onboard USB-to-Serial converter"",""Compatible with Arduino IDE and a wide range of Arduino shields and modules"",""Ideal for robotics, IoT, automation, sensor interfacing, educational projects, and DIY electronics""]","100"
"157","ARDUINO UNO DIP","","390","Development Boards","/uploads/ARDUINO UNO DIP.jpeg","{""Product Type"":""Arduino UNO DIP Development Board"",""Microcontroller"":""ATmega328P (DIP-28 Package)"",""Operating Voltage"":""5V DC"",""Input Voltage"":""7V - 12V DC (Recommended), 6V - 20V DC (Limit)"",""Digital I/O Pins"":""14 (6 PWM Outputs)"",""Analog Input Pins"":""6"",""Clock Speed"":""16 MHz"",""USB Interface"":""USB Type-B"",""Weight"":""Approximately 25 g""}","C11A","780","390","[""Based on the ATmega328P DIP microcontroller, which can be easily removed and replaced"",""Provides 14 digital I/O pins, 6 analog inputs, and 6 PWM output pins"",""Supports USB programming and serial communication through the onboard USB-to-Serial converter"",""Fully compatible with the Arduino IDE, Arduino shields, and a wide range of sensors and modules"",""Ideal for robotics, IoT, automation, embedded systems, educational learning, and DIY electronics projects""]","100"
"158","ARDUINO NANO","","200","Development Boards","/uploads/ARDUINO NANO.jpeg","{""Product Type"":""Arduino Nano Development Board"",""Microcontroller"":""ATmega328P"",""Operating Voltage"":""5V DC"",""Input Voltage"":""7V - 12V DC (Recommended), 6V - 20V DC (Limit)"",""Digital I/O Pins"":""14 (6 PWM Outputs)"",""Analog Input Pins"":""8"",""Clock Speed"":""16 MHz"",""USB Interface"":""Mini USB"",""Weight"":""Approximately 7 g""}","C12","400","200","[""Compact breadboard-friendly development board based on the ATmega328P microcontroller"",""Provides 14 digital I/O pins, 8 analog inputs, and 6 PWM output pins"",""Built-in Mini USB interface for programming and serial communication"",""Fully compatible with the Arduino IDE and a wide range of Arduino libraries and modules"",""Ideal for robotics, IoT, embedded systems, sensor interfacing, automation, prototyping, and DIY electronics projects""]","100"
"159","ARDUINO MEGA","","1170","Development Boards","/uploads/ARDUINO MEGA.jpg","{""Product Type"":""Arduino Mega 2560 Development Board"",""Microcontroller"":""ATmega2560"",""Operating Voltage"":""5V DC"",""Input Voltage"":""7V - 12V DC (Recommended), 6V - 20V DC (Limit)"",""Digital I/O Pins"":""54 (15 PWM Outputs)"",""Analog Input Pins"":""16"",""Clock Speed"":""16 MHz"",""USB Interface"":""USB Type-B"",""Weight"":""Approximately 37 g""}","C13","2340","1170","[""Based on the ATmega2560 microcontroller with expanded memory and I/O capabilities"",""Provides 54 digital I/O pins, 16 analog inputs, and 15 PWM output pins"",""Built-in USB interface for easy programming and serial communication through the Arduino IDE"",""Compatible with Arduino shields, sensors, displays, communication modules, and standard Arduino libraries"",""Ideal for robotics, CNC machines, 3D printers, industrial automation, IoT projects, and complex embedded system development""]","100"
"160","ESP32 -30 PIN","","50","Development Boards","https://placehold.co/400x400?text=No+Image","{""Product Type"":""ESP32 30-Pin Development Board"",""Microcontroller"":""ESP32-WROOM-32"",""Operating Voltage"":""3.3V DC"",""Input Voltage"":""5V DC (USB)"",""Wireless Connectivity"":""Wi-Fi 802.11 b/g/n and Bluetooth v4.2 (BR/EDR + BLE)"",""Digital GPIO Pins"":""30-Pin Development Board (Up to 25 Usable GPIOs, Model Dependent)"",""Clock Speed"":""Up to 240 MHz"",""Flash Memory"":""4 MB"",""USB Interface"":""Micro USB / USB Type-C (Model Dependent)"",""Weight"":""Approximately 10 g""}","C14",,"200","[""Dual-core ESP32 processor delivering high-performance wireless processing"",""Integrated Wi-Fi and Bluetooth (Classic + BLE) for IoT and wireless applications"",""Supports PWM, ADC, DAC, UART, SPI, I2C, I2S, CAN, and touch sensor interfaces"",""Compatible with Arduino IDE, ESP-IDF, MicroPython, and PlatformIO"",""Ideal for IoT devices, home automation, robotics, wireless sensor networks, industrial automation, and embedded system development""]","100"
"161","ESP CAM MODULE","","760","Development Boards","/uploads/ESP CAM MODULE.jpeg","{""Product Type"":""ESP32-CAM Development Module"",""Microcontroller"":""ESP32-S"",""Camera Sensor"":""OV2640 (2 MP)"",""Operating Voltage"":""5V DC"",""Wireless Connectivity"":""Wi-Fi 802.11 b/g/n and Bluetooth v4.2 (BLE)"",""Flash Memory"":""4 MB"",""Communication Interface"":""UART, SPI, I2C, PWM"",""MicroSD Card Support"":""Up to 4 GB (FAT32)"",""Weight"":""Approximately 10 g""}","C14A","1520","760","[""Integrated ESP32 processor with OV2640 2 MP camera for image capture and video streaming"",""Built-in Wi-Fi and Bluetooth for wireless communication and remote monitoring"",""Supports MicroSD card storage for images and video recording"",""Compatible with Arduino IDE, ESP-IDF, MicroPython, and PlatformIO"",""Ideal for IoT surveillance, smart home security, face recognition, remote monitoring, robotics, and AI vision projects""]","100"
"162","ENC28J60","","50","Development Boards","/uploads/ENC28J60.jpeg","{""Product Type"":""ENC28J60 Ethernet Module"",""Controller IC"":""ENC28J60"",""Network Standard"":""IEEE 802.3 10Base-T Ethernet"",""Operating Voltage"":""3.3V DC"",""Communication Interface"":""SPI"",""Data Rate"":""10 Mbps"",""Connector Type"":""RJ45 with Integrated Magnetics"",""Weight"":""Approximately 18 g""}","C14B","1120","560","[""Provides 10 Mbps Ethernet connectivity for microcontroller-based projects"",""Uses SPI interface for easy communication with embedded systems"",""Onboard RJ45 connector with integrated isolation transformer and status LEDs"",""Compatible with Arduino, ESP32, ESP8266, STM32, AVR, PIC, and other SPI-enabled microcontrollers"",""Ideal for IoT devices, network-enabled embedded systems, industrial automation, remote monitoring, and Ethernet communication projects""]","100"
"163","NODE MCU CPU 02","","270","Development Boards","/uploads/NODE MCU CPU 02.jpeg","{""Product Type"":""NodeMCU ESP8266 Development Board"",""Microcontroller"":""ESP8266EX"",""Operating Voltage"":""3.3V DC"",""Input Voltage"":""5V DC (Micro USB)"",""Wireless Connectivity"":""Wi-Fi IEEE 802.11 b/g/n (2.4 GHz)"",""Clock Speed"":""80 MHz (Up to 160 MHz)"",""Flash Memory"":""4 MB"",""GPIO Pins"":""11 Digital I/O (Model Dependent)"",""USB Interface"":""Micro USB"",""Weight"":""Approximately 10 g""}","C15","540","270","[""Powered by the ESP8266EX microcontroller with built-in 2.4 GHz Wi-Fi connectivity"",""Supports GPIO, PWM, ADC, UART, SPI, and I2C interfaces for versatile applications"",""Can be programmed using Arduino IDE, Lua (NodeMCU Firmware), MicroPython, and PlatformIO"",""Built-in USB-to-Serial converter for easy programming and debugging"",""Ideal for IoT devices, home automation, wireless sensor networks, smart appliances, and embedded system development""]","100"
"164","UNO CABLE","","35","Cables","/uploads/UNO CABLE.jpeg","{""Product Type"":""Arduino UNO USB Cable"",""Cable Type"":""USB Type-A to USB Type-B"",""USB Standard"":""USB 2.0"",""Cable Length"":""1 m (Typical)"",""Data Transfer"":""USB 2.0 High-Speed"",""Power Supply"":""5V DC"",""Weight"":""Approximately 35 g""}","C21","70","35","[""Provides reliable power and data transfer for Arduino UNO and compatible boards"",""USB Type-A to USB Type-B connector supports programming and serial communication"",""Durable cable with high-quality insulation for long service life"",""Compatible with Arduino UNO, Arduino Mega 2560, printers, and other devices using a USB Type-B port"",""Ideal for programming development boards, powering devices, firmware uploading, and embedded electronics projects""]","100"
"165","NANO CABLE","","35","Cables","/uploads/NANO CABLE.jpeg","{""Product Type"":""Arduino Nano USB Cable"",""Cable Type"":""USB Type-A to Mini USB"",""USB Standard"":""USB 2.0"",""Cable Length"":""1 m (Typical)"",""Data Transfer"":""USB 2.0 High-Speed"",""Power Supply"":""5V DC"",""Weight"":""Approximately 25 g""}","C22","70","35","[""Provides reliable power and data transfer for Arduino Nano and compatible development boards"",""USB Type-A to Mini USB connector supports programming and serial communication"",""Durable cable with high-quality insulation for long service life"",""Compatible with Arduino Nano, Mini USB development boards, GPS modules, cameras, and other Mini USB devices"",""Ideal for programming microcontroller boards, firmware uploading, powering devices, and DIY electronics projects""]","100"
"166","ESP32 CABLE","","50","Cables","/uploads/ESP32 CABLE.jpeg","{""Product Type"":""ESP32 USB Cable"",""Cable Type"":""USB Type-A to Micro USB"",""USB Standard"":""USB 2.0"",""Cable Length"":""1 m (Typical)"",""Data Transfer"":""USB 2.0 High-Speed"",""Power Supply"":""5V DC"",""Weight"":""Approximately 25 g""}","C23",,"200","[""Provides reliable power and data transfer for ESP32 development boards with a Micro USB connector"",""USB Type-A to Micro USB cable supports programming, serial communication, and power supply"",""Durable cable with high-quality insulation for long service life"",""Compatible with ESP32 DevKit, NodeMCU ESP32, ESP8266 boards, and other Micro USB devices"",""Ideal for programming microcontrollers, firmware uploading, powering development boards, and DIY electronics projects""]","100"
"167","18650-li-ion-2600mah-cell","","50","Miscellaneous","/uploads/18650-li-ion-2600mah-cell.jpg","{""Product Type"":""Li-Ion Rechargeable Cell"",""Cell Type"":""18650 Lithium-Ion Battery"",""Nominal Voltage"":""3.7V DC"",""Full Charge Voltage"":""4.2V DC"",""Capacity"":""1200 mAh - 3400 mAh (Model Dependent)"",""Rechargeable"":""Yes"",""Cell Dimensions"":""18 mm × 65 mm"",""Weight"":""Approximately 45 g""}","C24",,"200","[""High energy density with lightweight and compact cylindrical design"",""Rechargeable lithium-ion chemistry with low self-discharge rate"",""Suitable for use with TP4056 and other compatible Li-Ion battery charging modules"",""Compatible with Arduino, ESP32, ESP8266, Raspberry Pi, STM32, portable electronics, and battery-powered embedded systems"",""Ideal for robotics, IoT devices, portable electronics, power banks, emergency lighting, and DIY battery-powered projects""]","100"
"168","3-cell- battery holder","","50","Miscellaneous","/uploads/3-cell- battery holder.jpg","{""\""Product Type\"""":""\""3 Cell Battery Holder\"", \""Battery Type\"": \""18650 Li-Ion Battery Holder\"", \""Number of Cells\"": \""3\"", \""Configuration\"": \""Series (11.1V Nominal, 12.6V Fully Charged)\"", \""Material\"": \""ABS Plastic\"", \""Output Connection\"": \""Red and Black Wire Leads\"", \""Weight\"": \""Approximately 35 g\"" }""}","C24A",,"200","[""Designed to securely hold three 18650 lithium-ion rechargeable cells"",""Series configuration provides a nominal output voltage of 11.1V (12.6V when fully charged)"",""Durable ABS plastic construction with spring-loaded contacts for reliable battery connection"",""Pre-attached wire leads allow easy integration with electronic circuits and battery management systems"",""Ideal for robotics, portable power packs, IoT devices, DIY electronics, embedded systems, and battery-powered projects""]","100"
"169","2-cell-battery-holder","","50","Miscellaneous","/uploads/2-cell-battery-holder.jpg","{""Product Type"":""2 Cell Battery Holder"",""Battery Type"":""18650 Li-Ion Battery Holder"",""Number of Cells"":""2"",""Configuration"":""Series (7.4V Nominal, 8.4V Fully Charged)"",""Material"":""ABS Plastic"",""Output Connection"":""Red and Black Wire Leads"",""Weight"":""Approximately 25 g""}","C24B",,"200","[""Designed to securely hold two 18650 lithium-ion rechargeable cells"",""Series configuration provides a nominal output voltage of 7.4V (8.4V when fully charged)"",""Durable ABS plastic construction with spring-loaded contacts for reliable battery connection"",""Pre-attached wire leads allow easy integration with electronic circuits and battery management systems"",""Ideal for robotics, portable power packs, IoT devices, DIY electronics, embedded systems, and battery-powered projects""]","100"
